X,Y,Z,FALL
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.6,-0.08,-1.38,0
10.6,-0.08,-1.38,0
10.6,-0.08,-1.38,0
10.6,-0.08,-1.38,0
10.6,-0.08,-1.38,0
10.6,-0.08,-1.38,0
10.6,-0.08,-1.38,0
10.6,-0.08,-1.38,0
10.6,-0.08,-1.38,0
10.6,-0.08,-1.45,0
10.6,-0.08,-1.45,0
10.6,-0.08,-1.45,0
10.6,-0.08,-1.45,0
10.6,-0.08,-1.45,0
10.6,-0.08,-1.45,0
10.6,-0.08,-1.45,0
10.6,-0.08,-1.45,0
10.6,-0.08,-1.45,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.44,-0.08,-1.42,0
10.44,-0.08,-1.42,0
10.44,-0.08,-1.42,0
10.44,-0.08,-1.42,0
10.44,-0.08,-1.42,0
10.44,-0.08,-1.42,0
10.44,-0.08,-1.42,0
10.44,-0.08,-1.42,0
10.44,-0.08,-1.42,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.15,-1.38,0
10.52,-0.15,-1.38,0
10.52,-0.15,-1.38,0
10.52,-0.15,-1.38,0
10.52,-0.15,-1.38,0
10.52,-0.15,-1.38,0
10.52,-0.15,-1.38,0
10.52,-0.15,-1.38,0
10.52,-0.15,-1.38,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.6,-0.11,-1.38,0
10.6,-0.11,-1.38,0
10.6,-0.11,-1.38,0
10.6,-0.11,-1.38,0
10.6,-0.11,-1.38,0
10.6,-0.11,-1.38,0
10.6,-0.11,-1.38,0
10.6,-0.11,-1.38,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.56,-0.08,-1.45,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.08,-1.42,0
10.6,-0.11,-1.34,0
10.6,-0.11,-1.34,0
10.6,-0.11,-1.34,0
10.6,-0.11,-1.34,0
10.6,-0.11,-1.34,0
10.6,-0.11,-1.34,0
10.6,-0.11,-1.34,0
10.6,-0.11,-1.34,0
10.6,-0.11,-1.34,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.56,-0.04,-1.42,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.11,-1.38,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.15,-1.45,0
10.56,-0.15,-1.45,0
10.56,-0.15,-1.45,0
10.56,-0.15,-1.45,0
10.56,-0.15,-1.45,0
10.56,-0.15,-1.45,0
10.56,-0.15,-1.45,0
10.56,-0.15,-1.45,0
10.56,-0.15,-1.45,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.52,-0.04,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.48,-0.08,-1.38,0
10.52,0.0,-1.42,0
10.52,0.0,-1.42,0
10.52,0.0,-1.42,0
10.52,0.0,-1.42,0
10.52,0.0,-1.42,0
10.52,0.0,-1.42,0
10.52,0.0,-1.42,0
10.52,0.0,-1.42,0
10.52,0.0,-1.42,0
10.52,0.0,-1.42,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.56,-0.11,-1.42,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.52,-0.11,-1.34,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.56,-0.08,-1.38,0
10.48,-0.08,-1.42,0
10.48,-0.08,-1.42,0
10.48,-0.08,-1.42,0
10.48,-0.08,-1.42,0
10.48,-0.08,-1.42,0
10.48,-0.08,-1.42,0
10.48,-0.08,-1.42,0
10.48,-0.08,-1.42,0
10.48,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.52,-0.08,-1.45,0
10.52,-0.08,-1.45,0
10.52,-0.08,-1.45,0
10.52,-0.08,-1.45,0
10.52,-0.08,-1.45,0
10.52,-0.08,-1.45,0
10.52,-0.08,-1.45,0
10.52,-0.08,-1.45,0
10.52,-0.08,-1.45,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.52,-0.04,-1.42,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.56,-0.04,-1.38,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.04,-1.34,0
10.56,-0.04,-1.34,0
10.56,-0.04,-1.34,0
10.56,-0.04,-1.34,0
10.56,-0.04,-1.34,0
10.56,-0.04,-1.34,0
10.56,-0.04,-1.34,0
10.56,-0.04,-1.34,0
10.56,-0.04,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.56,-0.08,-1.34,0
10.52,-0.11,-1.42,0
10.52,-0.11,-1.42,0
10.52,-0.11,-1.42,0
10.52,-0.11,-1.42,0
10.52,-0.11,-1.42,0
10.52,-0.11,-1.42,0
10.52,-0.11,-1.42,0
10.52,-0.11,-1.42,0
10.52,-0.11,-1.42,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.52,-0.08,-1.38,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.11,-1.34,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.56,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.52,-0.08,-1.42,0
10.56,-0.04,-1.45,0
10.56,-0.04,-1.45,0
10.56,-0.04,-1.45,0
10.56,-0.04,-1.45,0
10.56,-0.04,-1.45,0
